ID,Label,Count
Rising Storm/Red Orchestra 2 Multiplayer,Rising Storm/Red Orchestra 2 Multiplayer,1748
LIMBO,LIMBO,1746
Phasmophobia,Phasmophobia,1721
Homefront,Homefront,1718
Saints Row 2,Saints Row 2,1710
Dota Underlords,Dota Underlords,1706
DARK SOULS™ III,DARK SOULS™ III,1702
The Witcher: Enhanced Edition,The Witcher: Enhanced Edition,1679
Castle Crashers,Castle Crashers,1678
Grand Theft Auto: San Andreas,Grand Theft Auto: San Andreas,1670
AdVenture Capitalist,AdVenture Capitalist,1664
Arma 2,Arma 2,1657
7 Days to Die,7 Days to Die,1653
POSTAL 2,POSTAL 2,1651
Age of Wonders III,Age of Wonders III,1647
Middle-earth™: Shadow of Mordor™,Middle-earth™: Shadow of Mordor™,1629
BioShock,BioShock,1616
BioShock Remastered,BioShock Remastered,1616
Infestation: The New Z,Infestation: The New Z,1612
Kingdom: Classic,Kingdom: Classic,1611
Stick Fight: The Game,Stick Fight: The Game,1602
DOOM,DOOM,1592
Fistful of Frags,Fistful of Frags,1586
The Bureau: XCOM Declassified,The Bureau: XCOM Declassified,1554
Hacknet,Hacknet,1553
GOAT OF DUTY,GOAT OF DUTY,1551
World of Tanks Blitz,World of Tanks Blitz,1548
Cry of Fear,Cry of Fear,1540
Ultimate Epic Battle Simulator,Ultimate Epic Battle Simulator,1538
Survarium,Survarium,1533
Sniper Elite V2,Sniper Elite V2,1519
Arma 2: Operation Arrowhead,Arma 2: Operation Arrowhead,1517
Arma 2: Operation Arrowhead Beta (Obsolete),Arma 2: Operation Arrowhead Beta (Obsolete),1514
Killing Floor 2,Killing Floor 2,1510
Killing Floor 2 - SDK,Killing Floor 2 - SDK,1509
Neverwinter,Neverwinter,1504
Rise of the Tomb Raider,Rise of the Tomb Raider,1500
Fishing Planet,Fishing Planet,1495
BioShock 2,BioShock 2,1490
BioShock 2 Remastered,BioShock 2 Remastered,1490
RaceRoom Racing Experience ,RaceRoom Racing Experience ,1489
Half-Life: Opposing Force,Half-Life: Opposing Force,1484
Fallout,Fallout,1480
Sanctum 2,Sanctum 2,1475
Hand Simulator,Hand Simulator,1472
Valheim,Valheim,1466
F1 2015,F1 2015,1466
Day of Defeat,Day of Defeat,1465
Far Cry® 3,Far Cry® 3,1459
Don't Starve,Don't Starve,1459
Golf With Your Friends,Golf With Your Friends,1457
DayZ,DayZ,1456
Team Fortress Classic,Team Fortress Classic,1456
HITMAN™,HITMAN™,1456
The LEGO® NINJAGO® Movie Video Game,The LEGO® NINJAGO® Movie Video Game,1449
Last Man Standing,Last Man Standing,1447
Crossout,Crossout,1447
